MATERIAL_NAME,PLANT_NAME,STAGE,INBOUND_DATE,MONTH_YEAR,NET_QUANTITY_MT,risk_overflow_score,flow_score,QUADRANT
FINISHED_GOOD-0201,CHINA-WAREHOUSE,high,2023/05/02,2023/05,27.89,-0.3886,-0.2136,Low Risk - Negative Flow
CHEMICAL-0202,MALAYSIA-WAREHOUSE,high,2024/06/19,2024/06,3.16,-0.3857,0.5787,Low Risk - Positive Flow
PACKAGING-0203,MALAYSIA-WAREHOUSE,low,2023/11/01,2023/11,14.96,-0.4555,0.2324,Low Risk - Positive Flow
CHEMICAL-0204,MALAYSIA-WAREHOUSE,medium,2024/08/05,2024/08,58.96,0.7824,-0.3437,High Risk - Negative Flow
CHEMICAL-0205,CHINA-WAREHOUSE,critical,2023/08/01,2023/08,898.67,0.0827,0.9621,High Risk - Positive Flow
COMPONENT-0206,THAILAND-WAREHOUSE,critical,2023/06/10,2023/06,234.7,0.2959,0.8892,High Risk - Positive Flow
COMPONENT-0207,SINGAPORE-WAREHOUSE,critical,2023/06/10,2023/06,136.19,0.596,0.125,High Risk - Positive Flow
RAW_MAT-0208,MALAYSIA-WAREHOUSE,low,2024/12/06,2024/12,50.36,-0.5496,0.3847,Low Risk - Positive Flow
CHEMICAL-0209,MALAYSIA-WAREHOUSE,medium,2023/02/03,2023/02,77.21,0.7379,0.1452,High Risk - Positive Flow
COMPONENT-0210,THAILAND-WAREHOUSE,medium,2024/12/20,2024/12,71.99,-0.1519,-0.3704,Low Risk - Negative Flow
PACKAGING-0211,CHINA-WAREHOUSE,high,2023/09/28,2023/09,52.94,-0.1975,0.1897,Low Risk - Positive Flow
CHEMICAL-0212,SINGAPORE-WAREHOUSE,low,2023/04/28,2023/04,58.41,-0.7715,0.0968,Low Risk - Positive Flow
CHEMICAL-0213,SINGAPORE-WAREHOUSE,high,2023/09/30,2023/09,278.98,-0.0897,-0.6268,Low Risk - Negative Flow
COMPONENT-0214,CHINA-WAREHOUSE,critical,2023/06/19,2023/06,109.63,0.0249,0.7967,High Risk - Positive Flow
FINISHED_GOOD-0215,VIETNAM-WAREHOUSE,medium,2024/03/25,2024/03,21.46,-0.4631,-0.535,Low Risk - Negative Flow
RAW_MAT-0216,MALAYSIA-WAREHOUSE,medium,2024/12/17,2024/12,42.04,0.0357,0.5052,High Risk - Positive Flow
PACKAGING-0217,THAILAND-WAREHOUSE,low,2024/03/24,2024/03,15.21,-0.8984,0.2742,Low Risk - Positive Flow
RAW_MAT-0218,VIETNAM-WAREHOUSE,critical,2024/03/18,2024/03,31.44,0.3346,-1.0,High Risk - Negative Flow
FINISHED_GOOD-0219,VIETNAM-WAREHOUSE,medium,2023/01/27,2023/01,5.76,-0.7683,0.6344,Low Risk - Positive Flow
RAW_MAT-0220,SINGAPORE-WAREHOUSE,critical,2024/11/19,2024/11,37.04,0.9837,1.0,High Risk - Positive Flow
FINISHED_GOOD-0221,VIETNAM-WAREHOUSE,critical,2023/06/29,2023/06,335.62,-0.5087,1.0,Low Risk - Positive Flow
PACKAGING-0222,VIETNAM-WAREHOUSE,low,2023/10/12,2023/10,80.81,-0.4922,0.0719,Low Risk - Positive Flow
COMPONENT-0223,VIETNAM-WAREHOUSE,low,2024/10/12,2024/10,22.86,0.2368,-0.1553,High Risk - Negative Flow
PACKAGING-0224,CHINA-WAREHOUSE,low,2023/12/23,2023/12,81.19,-0.575,-0.4011,Low Risk - Negative Flow
PACKAGING-0225,THAILAND-WAREHOUSE,medium,2024/11/17,2024/11,46.56,0.1233,-0.0907,High Risk - Negative Flow
RAW_MAT-0226,SINGAPORE-WAREHOUSE,medium,2024/02/26,2024/02,21.39,-0.7216,0.2807,Low Risk - Positive Flow
PACKAGING-0227,THAILAND-WAREHOUSE,low,2024/07/17,2024/07,30.6,-0.7977,0.4051,Low Risk - Positive Flow
RAW_MAT-0228,MALAYSIA-WAREHOUSE,critical,2023/11/19,2023/11,105.56,0.3602,0.3266,High Risk - Positive Flow
FINISHED_GOOD-0229,THAILAND-WAREHOUSE,critical,2024/02/18,2024/02,106.66,0.8814,1.0,High Risk - Positive Flow
CHEMICAL-0230,CHINA-WAREHOUSE,low,2024/02/28,2024/02,31.17,-0.876,0.5037,Low Risk - Positive Flow
RAW_MAT-0231,SINGAPORE-WAREHOUSE,medium,2024/09/29,2024/09,15.83,0.6916,0.6816,High Risk - Positive Flow
PACKAGING-0232,MALAYSIA-WAREHOUSE,critical,2023/07/28,2023/07,1041.14,0.7405,0.7575,High Risk - Positive Flow
FINISHED_GOOD-0233,VIETNAM-WAREHOUSE,high,2023/10/22,2023/10,54.48,-0.6955,0.3973,Low Risk - Positive Flow
PACKAGING-0234,MALAYSIA-WAREHOUSE,critical,2023/01/30,2023/01,558.28,0.7369,0.5601,High Risk - Positive Flow
CHEMICAL-0235,SINGAPORE-WAREHOUSE,high,2023/11/15,2023/11,26.81,0.3234,-0.7575,High Risk - Negative Flow
CHEMICAL-0236,CHINA-WAREHOUSE,low,2023/04/06,2023/04,29.32,-0.7226,-0.0142,Low Risk - Negative Flow
COMPONENT-0237,CHINA-WAREHOUSE,low,2023/05/01,2023/05,453.89,-0.6737,0.3409,Low Risk - Positive Flow
COMPONENT-0238,MALAYSIA-WAREHOUSE,medium,2024/06/05,2024/06,26.98,-0.8004,1.0,Low Risk - Positive Flow
FINISHED_GOOD-0239,MALAYSIA-WAREHOUSE,low,2024/04/28,2024/04,21.74,-0.5144,0.3159,Low Risk - Positive Flow
COMPONENT-0240,MALAYSIA-WAREHOUSE,high,2024/01/28,2024/01,187.93,0.6324,-0.631,High Risk - Negative Flow
COMPONENT-0241,VIETNAM-WAREHOUSE,high,2023/03/13,2023/03,39.79,0.1521,-0.701,High Risk - Negative Flow
FINISHED_GOOD-0242,MALAYSIA-WAREHOUSE,medium,2024/06/03,2024/06,40.08,0.24,0.0048,High Risk - Positive Flow
FINISHED_GOOD-0243,CHINA-WAREHOUSE,medium,2023/11/02,2023/11,14.42,-0.0575,-0.2972,Low Risk - Negative Flow
CHEMICAL-0244,VIETNAM-WAREHOUSE,low,2023/06/02,2023/06,18.11,-0.9368,0.4935,Low Risk - Positive Flow
PACKAGING-0245,VIETNAM-WAREHOUSE,low,2023/12/20,2023/12,126.28,0.323,-0.0987,High Risk - Negative Flow
FINISHED_GOOD-0246,VIETNAM-WAREHOUSE,low,2024/04/11,2024/04,59.25,0.3983,0.0197,High Risk - Positive Flow
FINISHED_GOOD-0247,SINGAPORE-WAREHOUSE,high,2024/08/08,2024/08,45.83,-0.2395,0.4316,Low Risk - Positive Flow
PACKAGING-0248,SINGAPORE-WAREHOUSE,low,2023/02/14,2023/02,54.1,-0.7887,0.2451,Low Risk - Positive Flow
FINISHED_GOOD-0249,MALAYSIA-WAREHOUSE,low,2024/01/31,2024/01,53.25,-0.3866,0.1753,Low Risk - Positive Flow
COMPONENT-0250,MALAYSIA-WAREHOUSE,critical,2023/05/10,2023/05,41.34,0.7535,0.1977,High Risk - Positive Flow
CHEMICAL-0251,VIETNAM-WAREHOUSE,medium,2023/04/13,2023/04,58.23,-0.4711,0.1629,Low Risk - Positive Flow
PACKAGING-0252,CHINA-WAREHOUSE,low,2023/01/16,2023/01,99.48,0.0107,-0.3661,High Risk - Negative Flow
COMPONENT-0253,MALAYSIA-WAREHOUSE,high,2023/03/18,2023/03,242.43,0.089,-0.1548,High Risk - Negative Flow
PACKAGING-0254,THAILAND-WAREHOUSE,medium,2024/09/30,2024/09,40.35,0.0255,-0.253,High Risk - Negative Flow
PACKAGING-0255,CHINA-WAREHOUSE,medium,2024/11/21,2024/11,179.58,-0.4089,0.2975,Low Risk - Positive Flow
CHEMICAL-0256,MALAYSIA-WAREHOUSE,medium,2024/10/03,2024/10,43.61,0.7317,-0.7663,High Risk - Negative Flow
PACKAGING-0257,VIETNAM-WAREHOUSE,critical,2024/09/24,2024/09,6.62,0.8403,-0.7133,High Risk - Negative Flow
RAW_MAT-0258,SINGAPORE-WAREHOUSE,medium,2023/08/21,2023/08,97.45,-0.5369,0.155,Low Risk - Positive Flow
RAW_MAT-0259,MALAYSIA-WAREHOUSE,critical,2024/10/10,2024/10,48.43,0.7553,-0.2484,High Risk - Negative Flow
RAW_MAT-0260,MALAYSIA-WAREHOUSE,high,2024/12/11,2024/12,10.87,0.2038,-0.8843,High Risk - Negative Flow
FINISHED_GOOD-0261,CHINA-WAREHOUSE,critical,2023/11/29,2023/11,516.92,0.7199,-0.7512,High Risk - Negative Flow
RAW_MAT-0262,THAILAND-WAREHOUSE,medium,2024/01/19,2024/01,29.79,-0.7887,1.0,Low Risk - Positive Flow
PACKAGING-0263,SINGAPORE-WAREHOUSE,high,2024/06/27,2024/06,25.7,0.1502,-0.0258,High Risk - Negative Flow
PACKAGING-0264,VIETNAM-WAREHOUSE,high,2023/06/24,2023/06,65.67,0.4275,-0.3475,High Risk - Negative Flow
COMPONENT-0265,CHINA-WAREHOUSE,low,2024/09/26,2024/09,181.35,-0.9095,0.6625,Low Risk - Positive Flow
COMPONENT-0266,MALAYSIA-WAREHOUSE,high,2023/08/26,2023/08,178.7,-0.0926,-0.2338,Low Risk - Negative Flow
PACKAGING-0267,THAILAND-WAREHOUSE,low,2023/09/19,2023/09,25.62,-0.8577,0.5561,Low Risk - Positive Flow
RAW_MAT-0268,MALAYSIA-WAREHOUSE,medium,2024/11/24,2024/11,95.22,-0.9115,0.8047,Low Risk - Positive Flow
CHEMICAL-0269,SINGAPORE-WAREHOUSE,critical,2024/03/28,2024/03,851.28,0.7059,0.5305,High Risk - Positive Flow
FINISHED_GOOD-0270,VIETNAM-WAREHOUSE,medium,2024/10/16,2024/10,95.28,0.2811,0.3447,High Risk - Positive Flow
PACKAGING-0271,THAILAND-WAREHOUSE,low,2023/11/06,2023/11,7.78,-0.8037,-0.2802,Low Risk - Negative Flow
COMPONENT-0272,MALAYSIA-WAREHOUSE,low,2023/04/20,2023/04,14.29,-0.4196,0.0428,Low Risk - Positive Flow
COMPONENT-0273,MALAYSIA-WAREHOUSE,medium,2024/08/11,2024/08,183.78,0.2545,0.0367,High Risk - Positive Flow
FINISHED_GOOD-0274,THAILAND-WAREHOUSE,critical,2024/11/05,2024/11,219.54,0.0904,0.9117,High Risk - Positive Flow
PACKAGING-0275,THAILAND-WAREHOUSE,critical,2024/08/02,2024/08,153.94,0.2432,-0.594,High Risk - Negative Flow
RAW_MAT-0276,VIETNAM-WAREHOUSE,low,2023/10/21,2023/10,160.04,0.3438,0.587,High Risk - Positive Flow
COMPONENT-0277,VIETNAM-WAREHOUSE,medium,2023/08/13,2023/08,134.32,-0.9107,0.4047,Low Risk - Positive Flow
COMPONENT-0278,VIETNAM-WAREHOUSE,medium,2024/11/25,2024/11,21.61,-0.5869,0.5074,Low Risk - Positive Flow
COMPONENT-0279,CHINA-WAREHOUSE,critical,2023/11/13,2023/11,842.02,0.7501,0.3508,High Risk - Positive Flow
PACKAGING-0280,CHINA-WAREHOUSE,medium,2023/05/15,2023/05,18.06,0.0688,-0.6006,High Risk - Negative Flow
RAW_MAT-0281,THAILAND-WAREHOUSE,medium,2024/03/01,2024/03,6.73,-0.0478,-0.3125,Low Risk - Negative Flow
COMPONENT-0282,SINGAPORE-WAREHOUSE,high,2024/07/06,2024/07,25.77,0.0864,0.9827,High Risk - Positive Flow
FINISHED_GOOD-0283,VIETNAM-WAREHOUSE,medium,2023/06/18,2023/06,40.61,0.4801,0.7417,High Risk - Positive Flow
FINISHED_GOOD-0284,MALAYSIA-WAREHOUSE,medium,2023/12/13,2023/12,142.09,0.1707,0.6012,High Risk - Positive Flow
RAW_MAT-0285,MALAYSIA-WAREHOUSE,critical,2023/05/25,2023/05,68.09,-0.1318,0.9323,Low Risk - Positive Flow
COMPONENT-0286,MALAYSIA-WAREHOUSE,medium,2023/04/03,2023/04,22.51,-0.0368,-0.1617,Low Risk - Negative Flow
PACKAGING-0287,CHINA-WAREHOUSE,medium,2024/07/03,2024/07,97.2,-0.5206,0.2321,Low Risk - Positive Flow
RAW_MAT-0288,MALAYSIA-WAREHOUSE,medium,2024/11/19,2024/11,40.28,0.7579,0.2316,High Risk - Positive Flow
FINISHED_GOOD-0289,VIETNAM-WAREHOUSE,low,2024/10/15,2024/10,13.32,-0.872,0.7246,Low Risk - Positive Flow
FINISHED_GOOD-0290,CHINA-WAREHOUSE,high,2024/04/27,2024/04,153.39,-0.5339,-0.9009,Low Risk - Negative Flow
RAW_MAT-0291,VIETNAM-WAREHOUSE,medium,2024/09/16,2024/09,17.97,-0.4286,-0.0845,Low Risk - Negative Flow
COMPONENT-0292,CHINA-WAREHOUSE,low,2024/12/18,2024/12,46.48,-0.937,-0.5803,Low Risk - Negative Flow
FINISHED_GOOD-0293,MALAYSIA-WAREHOUSE,critical,2023/05/24,2023/05,74.58,0.3306,0.2171,High Risk - Positive Flow
RAW_MAT-0294,CHINA-WAREHOUSE,medium,2024/05/19,2024/05,22.37,-0.0693,-0.3698,Low Risk - Negative Flow
RAW_MAT-0295,CHINA-WAREHOUSE,high,2024/07/04,2024/07,261.94,0.2163,-0.2472,High Risk - Negative Flow
COMPONENT-0296,MALAYSIA-WAREHOUSE,low,2024/01/15,2024/01,60.44,-0.2742,-0.1419,Low Risk - Negative Flow
CHEMICAL-0297,MALAYSIA-WAREHOUSE,high,2024/02/29,2024/02,69.9,-0.6523,0.0269,Low Risk - Positive Flow
RAW_MAT-0298,MALAYSIA-WAREHOUSE,low,2023/10/14,2023/10,29.84,-0.5479,0.1315,Low Risk - Positive Flow
RAW_MAT-0299,THAILAND-WAREHOUSE,high,2024/03/30,2024/03,96.26,0.6138,-0.8504,High Risk - Negative Flow
PACKAGING-0300,SINGAPORE-WAREHOUSE,medium,2023/04/12,2023/04,26.19,0.765,-0.3556,High Risk - Negative Flow
FINISHED_GOOD-0301,VIETNAM-WAREHOUSE,medium,2023/03/04,2023/03,83.83,-0.7442,1.0,Low Risk - Positive Flow
PACKAGING-0302,THAILAND-WAREHOUSE,high,2023/05/06,2023/05,18.69,0.1063,1.0,High Risk - Positive Flow
PACKAGING-0303,CHINA-WAREHOUSE,high,2024/10/19,2024/10,101.41,-0.958,1.0,Low Risk - Positive Flow
CHEMICAL-0304,CHINA-WAREHOUSE,critical,2023/12/08,2023/12,68.36,0.3813,-0.0688,High Risk - Negative Flow
COMPONENT-0305,SINGAPORE-WAREHOUSE,high,2023/03/12,2023/03,75.42,-0.6293,-0.2722,Low Risk - Negative Flow
CHEMICAL-0306,SINGAPORE-WAREHOUSE,high,2023/08/27,2023/08,132.04,0.0454,0.2932,High Risk - Positive Flow
FINISHED_GOOD-0307,SINGAPORE-WAREHOUSE,critical,2023/10/11,2023/10,88.98,0.7284,-0.2228,High Risk - Negative Flow
COMPONENT-0308,SINGAPORE-WAREHOUSE,medium,2023/06/28,2023/06,355.42,0.8445,-0.1731,High Risk - Negative Flow
RAW_MAT-0309,CHINA-WAREHOUSE,high,2023/01/16,2023/01,88.65,0.0981,-0.1445,High Risk - Negative Flow
FINISHED_GOOD-0310,SINGAPORE-WAREHOUSE,medium,2023/01/17,2023/01,39.06,-0.7282,0.0474,Low Risk - Positive Flow
COMPONENT-0311,THAILAND-WAREHOUSE,critical,2023/05/10,2023/05,1763.45,0.1512,0.5634,High Risk - Positive Flow
PACKAGING-0312,VIETNAM-WAREHOUSE,critical,2023/03/07,2023/03,134.89,-0.0414,0.2054,Low Risk - Positive Flow
PACKAGING-0313,MALAYSIA-WAREHOUSE,medium,2024/06/09,2024/06,45.28,-0.3557,0.6796,Low Risk - Positive Flow
CHEMICAL-0314,CHINA-WAREHOUSE,low,2024/05/30,2024/05,727.46,-0.9262,0.6341,Low Risk - Positive Flow
COMPONENT-0315,VIETNAM-WAREHOUSE,critical,2024/11/05,2024/11,104.12,0.4115,0.1473,High Risk - Positive Flow
CHEMICAL-0316,THAILAND-WAREHOUSE,low,2024/10/20,2024/10,203.8,-0.6002,0.2853,Low Risk - Positive Flow
RAW_MAT-0317,CHINA-WAREHOUSE,low,2024/02/16,2024/02,53.36,-0.6025,0.5698,Low Risk - Positive Flow
PACKAGING-0318,CHINA-WAREHOUSE,low,2024/12/30,2024/12,42.99,-0.7993,-0.0122,Low Risk - Negative Flow
PACKAGING-0319,CHINA-WAREHOUSE,critical,2023/11/26,2023/11,639.44,0.5648,-1.0,High Risk - Negative Flow
CHEMICAL-0320,SINGAPORE-WAREHOUSE,critical,2023/05/10,2023/05,50.18,0.7001,0.7701,High Risk - Positive Flow
FINISHED_GOOD-0321,VIETNAM-WAREHOUSE,medium,2024/01/26,2024/01,72.48,-0.4124,-0.3248,Low Risk - Negative Flow
CHEMICAL-0322,VIETNAM-WAREHOUSE,medium,2024/04/09,2024/04,61.95,-0.0916,0.3385,Low Risk - Positive Flow
CHEMICAL-0323,VIETNAM-WAREHOUSE,low,2023/04/12,2023/04,65.34,-0.9043,0.4255,Low Risk - Positive Flow
RAW_MAT-0324,VIETNAM-WAREHOUSE,high,2024/03/16,2024/03,42.89,-0.0484,0.2604,Low Risk - Positive Flow
PACKAGING-0325,SINGAPORE-WAREHOUSE,low,2023/12/14,2023/12,165.19,-0.1079,0.0774,Low Risk - Positive Flow
PACKAGING-0326,MALAYSIA-WAREHOUSE,low,2023/04/08,2023/04,49.87,-0.5156,-0.0059,Low Risk - Negative Flow
FINISHED_GOOD-0327,MALAYSIA-WAREHOUSE,medium,2024/11/12,2024/11,42.12,-0.1037,0.2363,Low Risk - Positive Flow
FINISHED_GOOD-0328,THAILAND-WAREHOUSE,high,2024/12/04,2024/12,161.74,0.0407,-0.5735,High Risk - Negative Flow
PACKAGING-0329,CHINA-WAREHOUSE,critical,2023/03/29,2023/03,1347.25,-0.0941,0.3221,Low Risk - Positive Flow
RAW_MAT-0330,MALAYSIA-WAREHOUSE,critical,2024/01/17,2024/01,21.34,0.4734,0.4979,High Risk - Positive Flow
COMPONENT-0331,VIETNAM-WAREHOUSE,critical,2024/08/23,2024/08,1156.02,0.5715,0.5888,High Risk - Positive Flow
CHEMICAL-0332,VIETNAM-WAREHOUSE,medium,2024/11/17,2024/11,174.49,-0.1593,0.0758,Low Risk - Positive Flow
RAW_MAT-0333,MALAYSIA-WAREHOUSE,medium,2024/11/12,2024/11,90.12,-0.649,0.5848,Low Risk - Positive Flow
PACKAGING-0334,CHINA-WAREHOUSE,medium,2024/09/06,2024/09,8.75,-0.4119,-0.1381,Low Risk - Negative Flow
FINISHED_GOOD-0335,THAILAND-WAREHOUSE,critical,2024/08/14,2024/08,719.03,0.0321,1.0,High Risk - Positive Flow
CHEMICAL-0336,SINGAPORE-WAREHOUSE,high,2024/11/03,2024/11,23.49,0.2605,-0.2258,High Risk - Negative Flow
PACKAGING-0337,SINGAPORE-WAREHOUSE,critical,2023/12/25,2023/12,130.76,0.3261,1.0,High Risk - Positive Flow
CHEMICAL-0338,THAILAND-WAREHOUSE,critical,2023/10/13,2023/10,113.95,0.5848,-0.2051,High Risk - Negative Flow
CHEMICAL-0339,SINGAPORE-WAREHOUSE,low,2024/07/28,2024/07,27.95,-0.4044,-0.147,Low Risk - Negative Flow
CHEMICAL-0340,VIETNAM-WAREHOUSE,critical,2024/09/15,2024/09,74.21,0.3329,0.7677,High Risk - Positive Flow
FINISHED_GOOD-0341,CHINA-WAREHOUSE,high,2023/10/07,2023/10,39.68,0.4717,-0.2581,High Risk - Negative Flow
FINISHED_GOOD-0342,THAILAND-WAREHOUSE,medium,2023/01/07,2023/01,26.89,-0.5328,0.5903,Low Risk - Positive Flow
COMPONENT-0343,SINGAPORE-WAREHOUSE,low,2023/03/13,2023/03,90.81,-0.2325,0.1499,Low Risk - Positive Flow
COMPONENT-0344,CHINA-WAREHOUSE,critical,2024/06/27,2024/06,177.0,-0.4908,-0.2392,Low Risk - Negative Flow
COMPONENT-0345,MALAYSIA-WAREHOUSE,low,2024/04/09,2024/04,41.74,-0.8143,0.0599,Low Risk - Positive Flow
FINISHED_GOOD-0346,SINGAPORE-WAREHOUSE,medium,2023/11/16,2023/11,47.88,-0.2637,-0.0437,Low Risk - Negative Flow
FINISHED_GOOD-0347,VIETNAM-WAREHOUSE,critical,2023/02/23,2023/02,40.11,0.2133,-0.1986,High Risk - Negative Flow
COMPONENT-0348,SINGAPORE-WAREHOUSE,critical,2024/11/21,2024/11,71.17,0.6045,0.4258,High Risk - Positive Flow
RAW_MAT-0349,THAILAND-WAREHOUSE,low,2024/11/08,2024/11,60.86,-0.1731,-0.2912,Low Risk - Negative Flow
PACKAGING-0350,MALAYSIA-WAREHOUSE,low,2024/02/29,2024/02,31.54,-0.9689,0.097,Low Risk - Positive Flow
FINISHED_GOOD-0351,SINGAPORE-WAREHOUSE,critical,2023/12/20,2023/12,475.02,0.9502,0.3011,High Risk - Positive Flow
PACKAGING-0352,CHINA-WAREHOUSE,medium,2024/11/25,2024/11,148.5,-0.5195,-0.1423,Low Risk - Negative Flow
CHEMICAL-0353,MALAYSIA-WAREHOUSE,medium,2023/02/16,2023/02,47.74,-0.6156,0.3802,Low Risk - Positive Flow
COMPONENT-0354,MALAYSIA-WAREHOUSE,critical,2023/01/08,2023/01,512.37,0.956,0.6502,High Risk - Positive Flow
COMPONENT-0355,THAILAND-WAREHOUSE,high,2023/05/21,2023/05,40.12,0.4498,-0.8636,High Risk - Negative Flow
FINISHED_GOOD-0356,THAILAND-WAREHOUSE,medium,2023/05/03,2023/05,31.12,0.1253,-0.1021,High Risk - Negative Flow
RAW_MAT-0357,MALAYSIA-WAREHOUSE,low,2023/06/29,2023/06,274.67,-0.6323,0.4791,Low Risk - Positive Flow
COMPONENT-0358,MALAYSIA-WAREHOUSE,high,2024/05/27,2024/05,54.9,0.1024,0.2237,High Risk - Positive Flow
CHEMICAL-0359,THAILAND-WAREHOUSE,critical,2024/02/11,2024/02,39.73,0.4439,-0.2209,High Risk - Negative Flow
RAW_MAT-0360,MALAYSIA-WAREHOUSE,critical,2024/04/15,2024/04,132.67,0.3995,1.0,High Risk - Positive Flow
RAW_MAT-0361,THAILAND-WAREHOUSE,low,2024/08/10,2024/08,12.35,-0.1648,-0.4125,Low Risk - Negative Flow
PACKAGING-0362,MALAYSIA-WAREHOUSE,medium,2023/04/28,2023/04,70.14,0.8242,0.3819,High Risk - Positive Flow
PACKAGING-0363,CHINA-WAREHOUSE,medium,2023/06/25,2023/06,22.99,-0.6021,-0.324,Low Risk - Negative Flow
CHEMICAL-0364,MALAYSIA-WAREHOUSE,medium,2023/04/01,2023/04,18.03,-0.3188,0.0269,Low Risk - Positive Flow
PACKAGING-0365,CHINA-WAREHOUSE,high,2024/03/22,2024/03,15.97,-0.1884,0.5962,Low Risk - Positive Flow
CHEMICAL-0366,MALAYSIA-WAREHOUSE,critical,2024/02/10,2024/02,201.24,0.517,-0.6093,High Risk - Negative Flow
FINISHED_GOOD-0367,THAILAND-WAREHOUSE,high,2023/12/08,2023/12,101.65,0.3078,0.0757,High Risk - Positive Flow
COMPONENT-0368,CHINA-WAREHOUSE,critical,2024/06/27,2024/06,573.21,0.3404,-1.0,High Risk - Negative Flow
CHEMICAL-0369,SINGAPORE-WAREHOUSE,medium,2023/12/26,2023/12,30.09,0.4621,-0.4757,High Risk - Negative Flow
COMPONENT-0370,SINGAPORE-WAREHOUSE,critical,2023/05/30,2023/05,99.06,0.7234,0.7382,High Risk - Positive Flow
FINISHED_GOOD-0371,SINGAPORE-WAREHOUSE,high,2024/09/08,2024/09,44.5,-0.3241,0.7967,Low Risk - Positive Flow
COMPONENT-0372,CHINA-WAREHOUSE,high,2024/10/05,2024/10,42.89,-0.379,1.0,Low Risk - Positive Flow
PACKAGING-0373,MALAYSIA-WAREHOUSE,low,2024/11/28,2024/11,171.64,-0.108,0.1545,Low Risk - Positive Flow
CHEMICAL-0374,VIETNAM-WAREHOUSE,medium,2024/10/04,2024/10,91.38,-0.6511,0.4006,Low Risk - Positive Flow
FINISHED_GOOD-0375,SINGAPORE-WAREHOUSE,low,2023/03/11,2023/03,178.12,-0.926,0.4869,Low Risk - Positive Flow
PACKAGING-0376,MALAYSIA-WAREHOUSE,medium,2023/10/09,2023/10,53.3,-0.0941,-0.2999,Low Risk - Negative Flow
CHEMICAL-0377,CHINA-WAREHOUSE,medium,2024/06/03,2024/06,47.71,-0.3933,0.1607,Low Risk - Positive Flow
RAW_MAT-0378,THAILAND-WAREHOUSE,low,2024/04/07,2024/04,233.93,0.6547,-0.1324,High Risk - Negative Flow
RAW_MAT-0379,CHINA-WAREHOUSE,medium,2023/10/21,2023/10,130.7,0.5563,-0.472,High Risk - Negative Flow
RAW_MAT-0380,CHINA-WAREHOUSE,low,2024/04/18,2024/04,102.86,0.2002,-0.1436,High Risk - Negative Flow
CHEMICAL-0381,VIETNAM-WAREHOUSE,critical,2024/04/05,2024/04,628.75,-0.0902,-1.0,Low Risk - Negative Flow
CHEMICAL-0382,SINGAPORE-WAREHOUSE,medium,2024/09/11,2024/09,15.02,-0.6423,1.0,Low Risk - Positive Flow
PACKAGING-0383,VIETNAM-WAREHOUSE,high,2023/03/05,2023/03,95.53,-0.3333,0.606,Low Risk - Positive Flow
PACKAGING-0384,CHINA-WAREHOUSE,medium,2023/03/28,2023/03,132.94,-0.483,-0.1506,Low Risk - Negative Flow
CHEMICAL-0385,SINGAPORE-WAREHOUSE,critical,2023/09/11,2023/09,151.18,-0.2699,-0.42,Low Risk - Negative Flow
PACKAGING-0386,MALAYSIA-WAREHOUSE,high,2024/01/08,2024/01,168.27,0.6617,-0.7136,High Risk - Negative Flow
FINISHED_GOOD-0387,THAILAND-WAREHOUSE,low,2024/02/23,2024/02,152.54,-0.8089,-0.0031,Low Risk - Negative Flow
FINISHED_GOOD-0388,VIETNAM-WAREHOUSE,critical,2024/10/08,2024/10,137.19,-0.1536,-0.0638,Low Risk - Negative Flow
FINISHED_GOOD-0389,CHINA-WAREHOUSE,medium,2023/04/07,2023/04,92.04,0.0681,0.3501,High Risk - Positive Flow
CHEMICAL-0390,MALAYSIA-WAREHOUSE,medium,2023/09/16,2023/09,66.91,-0.5701,0.25,Low Risk - Positive Flow
CHEMICAL-0391,SINGAPORE-WAREHOUSE,medium,2023/03/25,2023/03,3.21,-0.2555,-0.1034,Low Risk - Negative Flow
CHEMICAL-0392,SINGAPORE-WAREHOUSE,medium,2023/11/14,2023/11,187.75,0.0594,-0.5061,High Risk - Negative Flow
PACKAGING-0393,SINGAPORE-WAREHOUSE,critical,2023/11/14,2023/11,106.95,0.0485,-0.9256,High Risk - Negative Flow
CHEMICAL-0394,MALAYSIA-WAREHOUSE,medium,2023/05/11,2023/05,195.31,0.6358,0.1364,High Risk - Positive Flow
CHEMICAL-0395,CHINA-WAREHOUSE,low,2024/06/04,2024/06,25.5,-0.8351,0.7149,Low Risk - Positive Flow
FINISHED_GOOD-0396,CHINA-WAREHOUSE,medium,2023/11/13,2023/11,61.5,-0.0333,-0.6875,Low Risk - Negative Flow
COMPONENT-0397,SINGAPORE-WAREHOUSE,medium,2024/05/12,2024/05,3.9,-0.5463,0.0767,Low Risk - Positive Flow
COMPONENT-0398,SINGAPORE-WAREHOUSE,high,2023/06/08,2023/06,52.37,0.9397,0.0409,High Risk - Positive Flow
RAW_MAT-0399,THAILAND-WAREHOUSE,critical,2024/06/03,2024/06,950.59,0.6825,-0.1082,High Risk - Negative Flow
CHEMICAL-0400,VIETNAM-WAREHOUSE,critical,2024/11/08,2024/11,60.91,0.2471,0.7106,High Risk - Positive Flow
FINISHED_GOOD-0401,VIETNAM-WAREHOUSE,high,2024/09/03,2024/09,14.13,-0.867,0.8533,Low Risk - Positive Flow
PACKAGING-0402,SINGAPORE-WAREHOUSE,high,2023/07/05,2023/07,45.62,-0.0022,-0.2368,Low Risk - Negative Flow
